petal_length,petal_width,sepal_length,sepal_width,species
1.295,0.22,5.2,3.56,setosa
1.295,0.22,4.84,3.08,setosa
1.295,0.22,4.84,3.08,setosa
1.295,0.22,4.48,3.08,setosa
1.295,0.22,4.84,3.56,setosa
1.885,0.46,5.56,3.8,setosa
1.295,0.22,4.48,3.32,setosa
1.295,0.22,4.84,3.32,setosa
1.295,0.22,4.48,2.84,setosa
1.295,0.22,4.84,3.08,setosa
1.295,0.22,5.56,3.8,setosa
1.885,0.22,4.84,3.32,setosa
1.295,0.22,4.84,3.08,setosa
1.295,0.22,4.48,3.08,setosa
1.295,0.22,5.92,4.04,setosa
1.295,0.46,5.56,4.28,setosa
1.295,0.46,5.56,3.8,setosa
1.295,0.22,5.2,3.56,setosa
1.885,0.22,5.56,3.8,setosa
1.295,0.22,5.2,3.8,setosa
1.885,0.22,5.56,3.32,setosa
1.295,0.46,5.2,3.8,setosa
1.295,0.22,4.48,3.56,setosa
1.885,0.46,5.2,3.32,setosa
1.885,0.22,4.84,3.32,setosa
1.885,0.22,4.84,3.08,setosa
1.885,0.46,4.84,3.32,setosa
1.295,0.22,5.2,3.56,setosa
1.295,0.22,5.2,3.32,setosa
1.885,0.22,4.84,3.08,setosa
1.885,0.22,4.84,3.08,setosa
1.295,0.46,5.56,3.32,setosa
1.295,0.22,5.2,4.04,setosa
1.295,0.22,5.56,4.28,setosa
1.295,0.22,4.84,3.08,setosa
1.295,0.22,4.84,3.08,setosa
1.295,0.22,5.56,3.56,setosa
1.295,0.22,4.84,3.08,setosa
1.295,0.22,4.48,3.08,setosa
1.295,0.22,5.2,3.32,setosa
1.295,0.22,4.84,3.56,setosa
1.295,0.22,4.48,2.36,setosa
1.295,0.22,4.48,3.08,setosa
1.885,0.7,4.84,3.56,setosa
1.885,0.46,5.2,3.8,setosa
1.295,0.22,4.84,3.08,setosa
1.885,0.22,5.2,3.8,setosa
1.295,0.22,4.48,3.08,setosa
1.295,0.22,5.2,3.8,setosa
1.295,0.22,4.84,3.32,setosa
4.835,1.42,7.0,3.08,versicolor
4.245,1.42,6.28,3.08,versicolor
4.835,1.42,7.0,3.08,versicolor
4.245,1.42,5.56,2.36,versicolor
4.835,1.42,6.64,2.84,versicolor
4.245,1.42,5.56,2.84,versicolor
4.835,1.66,6.28,3.32,versicolor
3.065,0.94,4.84,2.36,versicolor
4.835,1.42,6.64,2.84,versicolor
3.655,1.42,5.2,2.6,versicolor
3.655,0.94,4.84,2.12,versicolor
4.245,1.42,5.92,3.08,versicolor
4.245,0.94,5.92,2.12,versicolor
4.835,1.42,5.92,2.84,versicolor
3.655,1.42,5.56,2.84,versicolor
4.245,1.42,6.64,3.08,versicolor
4.245,1.42,5.56,3.08,versicolor
4.245,0.94,5.92,2.6,versicolor
4.245,1.42,6.28,2.12,versicolor
3.655,1.18,5.56,2.6,versicolor
4.835,1.9,5.92,3.08,versicolor
4.245,1.42,5.92,2.84,versicolor
4.835,1.42,6.28,2.6,versicolor
4.835,1.18,5.92,2.84,versicolor
4.245,1.42,6.28,2.84,versicolor
4.245,1.42,6.64,3.08,versicolor
4.835,1.42,6.64,2.84,versicolor
4.835,1.66,6.64,3.08,versicolor
4.245,1.42,5.92,2.84,versicolor
3.655,0.94,5.56,2.6,versicolor
3.655,1.18,5.56,2.36,versicolor
3.655,0.94,5.56,2.36,versicolor
3.655,1.18,5.92,2.6,versicolor
4.835,1.66,5.92,2.6,versicolor
4.245,1.42,5.56,3.08,versicolor
4.245,1.66,5.92,3.32,versicolor
4.835,1.42,6.64,3.08,versicolor
4.245,1.42,6.28,2.36,versicolor
4.245,1.42,5.56,3.08,versicolor
4.245,1.42,5.56,2.6,versicolor
4.245,1.18,5.56,2.6,versicolor
4.835,1.42,5.92,3.08,versicolor
4.245,1.18,5.92,2.6,versicolor
3.065,0.94,4.84,2.36,versicolor
4.245,1.42,5.56,2.6,versicolor
4.245,1.18,5.56,3.08,versicolor
4.245,1.42,5.56,2.84,versicolor
4.245,1.42,6.28,2.84,versicolor
3.065,1.18,5.2,2.6,versicolor
4.245,1.42,5.56,2.84,versicolor
6.015,2.38,6.28,3.32,virginica
4.835,1.9,5.92,2.6,virginica
6.015,2.14,7.0,3.08,virginica
5.425,1.9,6.28,2.84,virginica
6.015,2.14,6.64,3.08,virginica
6.605,2.14,7.72,3.08,virginica
4.245,1.66,4.84,2.6,virginica
6.015,1.9,7.36,2.84,virginica
6.015,1.9,6.64,2.6,virginica
6.015,2.38,7.36,3.56,virginica
4.835,1.9,6.64,3.08,virginica
5.425,1.9,6.28,2.6,virginica
5.425,2.14,6.64,3.08,virginica
4.835,1.9,5.56,2.6,virginica
4.835,2.38,5.92,2.84,virginica
5.425,2.38,6.28,3.08,virginica
5.425,1.9,6.64,3.08,virginica
6.605,2.14,7.72,3.8,virginica
6.605,2.38,7.72,2.6,virginica
4.835,1.42,5.92,2.12,virginica
5.425,2.38,7.0,3.08,virginica
4.835,1.9,5.56,2.84,virginica
6.605,1.9,7.72,2.84,virginica
4.835,1.9,6.28,2.6,virginica
5.425,2.14,6.64,3.32,virginica
6.015,1.9,7.36,3.08,virginica
4.835,1.9,6.28,2.84,virginica
4.835,1.9,5.92,3.08,virginica
5.425,2.14,6.28,2.84,virginica
6.015,1.66,7.36,3.08,virginica
6.015,1.9,7.36,2.84,virginica
6.605,1.9,7.72,3.8,virginica
5.425,2.14,6.28,2.84,virginica
4.835,1.42,6.28,2.84,virginica
5.425,1.42,5.92,2.6,virginica
6.015,2.38,7.72,3.08,virginica
5.425,2.38,6.28,3.32,virginica
5.425,1.9,6.28,3.08,virginica
4.835,1.9,5.92,3.08,virginica
5.425,2.14,7.0,3.08,virginica
5.425,2.38,6.64,3.08,virginica
4.835,2.38,7.0,3.08,virginica
4.835,1.9,5.92,2.6,virginica
6.015,2.38,6.64,3.08,virginica
5.425,2.38,6.64,3.32,virginica
5.425,2.38,6.64,3.08,virginica
4.835,1.9,6.28,2.6,virginica
5.425,1.9,6.64,3.08,virginica
5.425,2.38,6.28,3.32,virginica
4.835,1.9,5.92,3.08,virginica
